,ground heat capacity (J/kgK),ground density (kg/m3),ground porosity (fraction)
0,880,1750,0.2
1,880,1750,0.2
2,880,1750,0.2
3,880,1750,0.2
4,880,1750,0.2
5,880,1750,0.2
6,880,1750,0.2
7,880,1750,0.2
8,880,1750,0.2
9,880,1750,0.2
10,880,1750,0.2
11,880,1750,0.2
12,880,1750,0.2
13,880,1750,0.2
14,880,1750,0.2
15,880,1750,0.2
16,880,1750,0.2
17,880,1750,0.2
18,880,1750,0.2
19,880,1750,0.2
20,880,1750,0.2
21,880,1750,0.2
22,880,1750,0.2
23,880,1750,0.2
24,880,1750,0.2
25,880,1750,0.2
26,880,1750,0.2
27,880,1750,0.2
28,880,1750,0.2
29,880,1750,0.2
30,880,1750,0.2
31,880,1750,0.2
32,880,1750,0.2
33,880,1750,0.2
34,880,1750,0.2
35,880,1750,0.2
36,880,1750,0.2
37,880,1750,0.2
38,880,1750,0.2
39,880,1750,0.2
40,880,1750,0.2
41,880,1750,0.2
42,880,1750,0.2
43,880,1750,0.2
44,880,1750,0.2
45,880,1750,0.2
46,880,1750,0.2
47,880,1750,0.2
48,880,1750,0.2
49,880,1750,0.2
50,880,1750,0.2
51,880,1750,0.2
52,880,1750,0.2
53,880,1750,0.2
54,880,1750,0.2
55,880,1750,0.2
